1.000,0.366,0.242,0.280,0.360,0.282,0.245,0.448,0.486,0.648,0.679,0.486,0.133,0.376
0.366,1.000,0.233,0.194,0.324,0.263,0.265,0.345,0.367,0.662,0.681,0.636,0.153,0.252
0.242,0.233,1.000,0.590,0.476,0.483,0.540,0.452,0.365,0.216,0.243,0.174,0.732,0.676
0.280,0.194,0.590,1.000,0.435,0.470,0.478,0.404,0.357,0.316,0.313,0.243,0.477,0.581
0.360,0.324,0.476,0.435,1.000,0.452,0.535,0.431,0.429,0.429,0.430,0.375,0.339,0.441
0.282,0.263,0.483,0.470,0.452,1.000,0.633,0.322,0.283,0.283,0.302,0.290,0.392,0.447
0.245,0.265,0.540,0.478,0.535,0.633,1.000,0.266,0.287,0.263,0.294,0.255,0.446,0.440
0.448,0.345,0.452,0.404,0.431,0.322,0.266,1.000,0.820,0.527,0.520,0.403,0.266,0.424
0.486,0.367,0.365,0.357,0.429,0.283,0.287,0.820,1.000,0.547,0.558,0.417,0.241,0.372
0.648,0.662,0.216,0.316,0.429,0.283,0.263,0.527,0.547,1.000,0.957,0.852,0.054,0.363
0.679,0.681,0.243,0.313,0.430,0.302,0.294,0.520,0.558,0.957,1.000,0.852,0.099,0.376
0.486,0.636,0.174,0.243,0.375,0.290,0.255,0.403,0.417,0.857,0.852,1.000,0.055,0.321
0.133,0.153,0.732,0.477,0.339,0.392,0.446,0.266,0.241,0.054,0.099,0.055,1.000,0.627
0.376,0.252,0.676,0.581,0.441,0.447,0.440,0.424,0.372,0.363,0.376,0.321,0.627,1.000
